UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Aug17 ?        00:02:20 /usr/lib/systemd/systemd --switc
root         2     0  0 Aug17 ?        00:00:00 [kthreadd]
root         3     2  0 Aug17 ?        00:00:09 [ksoftirqd/0]
root         5     2  0 Aug17 ?        00:00:00 [kworker/0:0H]
root         7     2  0 Aug17 ?        00:00:25 [migration/0]
root         8     2  0 Aug17 ?        00:00:00 [rcu_bh]
root         9     2  0 Aug17 ?        00:03:33 [rcu_sched]
root        10     2  0 Aug17 ?        00:00:00 [lru-add-drain]
root        11     2  0 Aug17 ?        00:00:01 [watchdog/0]
root        12     2  0 Aug17 ?        00:00:01 [watchdog/1]
root        13     2  0 Aug17 ?        00:00:25 [migration/1]
root        14     2  0 Aug17 ?        00:00:09 [ksoftirqd/1]
root        16     2  0 Aug17 ?        00:00:00 [kworker/1:0H]
root        17     2  0 Aug17 ?        00:00:01 [watchdog/2]
root        18     2  0 Aug17 ?        00:00:25 [migration/2]
root        19     2  0 Aug17 ?        00:00:09 [ksoftirqd/2]
root        21     2  0 Aug17 ?        00:00:00 [kworker/2:0H]
root        22     2  0 Aug17 ?        00:00:01 [watchdog/3]
root        23     2  0 Aug17 ?        00:00:25 [migration/3]
root        24     2  0 Aug17 ?        00:00:10 [ksoftirqd/3]
root        26     2  0 Aug17 ?        00:00:00 [kworker/3:0H]
root        28     2  0 Aug17 ?        00:00:00 [kdevtmpfs]
root        29     2  0 Aug17 ?        00:00:00 [netns]
root        30     2  0 Aug17 ?        00:00:00 [khungtaskd]
root        31     2  0 Aug17 ?        00:00:00 [writeback]
root        32     2  0 Aug17 ?        00:00:00 [kintegrityd]
root        33     2  0 Aug17 ?        00:00:00 [bioset]
root        34     2  0 Aug17 ?        00:00:00 [bioset]
root        35     2  0 Aug17 ?        00:00:00 [bioset]
root        36     2  0 Aug17 ?        00:00:00 [kblockd]
root        37     2  0 Aug17 ?        00:00:00 [md]
root        38     2  0 Aug17 ?        00:00:00 [edac-poller]
root        44     2  0 Aug17 ?        00:00:05 [kswapd0]
root        45     2  0 Aug17 ?        00:00:00 [ksmd]
root        46     2  0 Aug17 ?        00:00:02 [khugepaged]
root        47     2  0 Aug17 ?        00:00:00 [crypto]
root        55     2  0 Aug17 ?        00:00:00 [kthrotld]
root        57     2  0 Aug17 ?        00:00:00 [kmpath_rdacd]
root        58     2  0 Aug17 ?        00:00:00 [kaluad]
root        60     2  0 Aug17 ?        00:00:00 [kpsmoused]
root        62     2  0 Aug17 ?        00:00:00 [ipv6_addrconf]
root        76     2  0 Aug17 ?        00:00:00 [deferwq]
root       109     2  0 Aug17 ?        00:00:00 [kauditd]
root       292     2  0 Aug17 ?        00:00:00 [ata_sff]
root       299     2  0 Aug17 ?        00:00:00 [scsi_eh_0]
root       300     2  0 Aug17 ?        00:00:00 [scsi_tmf_0]
root       302     2  0 Aug17 ?        00:00:00 [scsi_eh_1]
root       304     2  0 Aug17 ?        00:00:00 [scsi_tmf_1]
root       310     2  0 Aug17 ?        00:00:00 [kworker/2:1H]
root       312     2  0 Aug17 ?        00:00:00 [scsi_eh_2]
root       313     2  0 Aug17 ?        00:00:00 [scsi_tmf_2]
root       314     2  0 Aug17 ?        00:00:00 [scsi_eh_3]
root       315     2  0 Aug17 ?        00:00:00 [scsi_tmf_3]
root       316     2  0 Aug17 ?        00:00:00 [scsi_eh_4]
root       317     2  0 Aug17 ?        00:00:00 [scsi_tmf_4]
root       318     2  0 Aug17 ?        00:00:00 [scsi_eh_5]
root       319     2  0 Aug17 ?        00:00:00 [scsi_tmf_5]
root       320     2  0 Aug17 ?        00:00:00 [scsi_eh_6]
root       321     2  0 Aug17 ?        00:00:00 [scsi_tmf_6]
root       322     2  0 Aug17 ?        00:00:00 [scsi_eh_7]
root       323     2  0 Aug17 ?        00:00:00 [scsi_tmf_7]
root       324     2  0 Aug17 ?        00:00:00 [scsi_eh_8]
root       325     2  0 Aug17 ?        00:00:00 [scsi_tmf_8]
root       327     2  0 Aug17 ?        00:00:00 [scsi_eh_9]
root       328     2  0 Aug17 ?        00:00:00 [scsi_tmf_9]
root       329     2  0 Aug17 ?        00:00:00 [scsi_eh_10]
root       330     2  0 Aug17 ?        00:00:00 [scsi_tmf_10]
root       331     2  0 Aug17 ?        00:00:00 [scsi_eh_11]
root       332     2  0 Aug17 ?        00:00:00 [scsi_tmf_11]
root       333     2  0 Aug17 ?        00:00:00 [scsi_eh_12]
root       334     2  0 Aug17 ?        00:00:00 [scsi_tmf_12]
root       335     2  0 Aug17 ?        00:00:00 [scsi_eh_13]
root       336     2  0 Aug17 ?        00:00:00 [scsi_tmf_13]
root       337     2  0 Aug17 ?        00:00:00 [scsi_eh_14]
root       338     2  0 Aug17 ?        00:00:00 [scsi_tmf_14]
root       339     2  0 Aug17 ?        00:00:00 [scsi_eh_15]
root       340     2  0 Aug17 ?        00:00:00 [scsi_tmf_15]
root       341     2  0 Aug17 ?        00:00:00 [scsi_eh_16]
root       342     2  0 Aug17 ?        00:00:00 [scsi_tmf_16]
root       343     2  0 Aug17 ?        00:00:00 [scsi_eh_17]
root       344     2  0 Aug17 ?        00:00:00 [scsi_tmf_17]
root       345     2  0 Aug17 ?        00:00:00 [scsi_eh_18]
root       346     2  0 Aug17 ?        00:00:00 [scsi_tmf_18]
root       347     2  0 Aug17 ?        00:00:00 [scsi_eh_19]
root       348     2  0 Aug17 ?        00:00:00 [scsi_tmf_19]
root       349     2  0 Aug17 ?        00:00:00 [scsi_eh_20]
root       350     2  0 Aug17 ?        00:00:00 [scsi_tmf_20]
root       351     2  0 Aug17 ?        00:00:00 [scsi_eh_21]
root       352     2  0 Aug17 ?        00:00:00 [scsi_tmf_21]
root       353     2  0 Aug17 ?        00:00:00 [scsi_eh_22]
root       354     2  0 Aug17 ?        00:00:00 [scsi_tmf_22]
root       355     2  0 Aug17 ?        00:00:00 [scsi_eh_23]
root       356     2  0 Aug17 ?        00:00:00 [scsi_tmf_23]
root       357     2  0 Aug17 ?        00:00:00 [scsi_eh_24]
root       358     2  0 Aug17 ?        00:00:00 [scsi_tmf_24]
root       359     2  0 Aug17 ?        00:00:00 [scsi_eh_25]
root       360     2  0 Aug17 ?        00:00:00 [scsi_tmf_25]
root       361     2  0 Aug17 ?        00:00:00 [scsi_eh_26]
root       362     2  0 Aug17 ?        00:00:00 [scsi_tmf_26]
root       363     2  0 Aug17 ?        00:00:00 [scsi_eh_27]
root       364     2  0 Aug17 ?        00:00:00 [scsi_tmf_27]
root       365     2  0 Aug17 ?        00:00:00 [scsi_eh_28]
root       366     2  0 Aug17 ?        00:00:00 [scsi_tmf_28]
root       367     2  0 Aug17 ?        00:00:00 [scsi_eh_29]
root       368     2  0 Aug17 ?        00:00:00 [scsi_tmf_29]
root       369     2  0 Aug17 ?        00:00:00 [scsi_eh_30]
root       370     2  0 Aug17 ?        00:00:00 [scsi_tmf_30]
root       371     2  0 Aug17 ?        00:00:00 [scsi_eh_31]
root       372     2  0 Aug17 ?        00:00:00 [scsi_tmf_31]
root       464     2  0 Aug17 ?        00:00:00 [kdmflush]
root       465     2  0 Aug17 ?        00:00:00 [bioset]
root       476     2  0 Aug17 ?        00:00:00 [kdmflush]
root       477     2  0 Aug17 ?        00:00:00 [bioset]
root       490     2  0 Aug17 ?        00:00:00 [bioset]
root       491     2  0 Aug17 ?        00:00:00 [xfsalloc]
root       492     2  0 Aug17 ?        00:00:00 [xfs_mru_cache]
root       493     2  0 Aug17 ?        00:00:00 [xfs-buf/dm-0]
root       494     2  0 Aug17 ?        00:00:00 [xfs-data/dm-0]
root       495     2  0 Aug17 ?        00:00:00 [xfs-conv/dm-0]
root       496     2  0 Aug17 ?        00:00:00 [xfs-cil/dm-0]
root       497     2  0 Aug17 ?        00:00:00 [xfs-reclaim/dm-]
root       498     2  0 Aug17 ?        00:00:00 [xfs-log/dm-0]
root       499     2  0 Aug17 ?        00:00:00 [xfs-eofblocks/d]
root       500     2  0 Aug17 ?        00:02:40 [xfsaild/dm-0]
root       501     2  0 Aug17 ?        00:00:00 [kworker/0:1H]
root       574     1  0 Aug17 ?        00:00:10 /usr/lib/systemd/systemd-journal
root       591     1  0 Aug17 ?        00:00:00 /usr/sbin/lvmetad -f
root       610     1  0 Aug17 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       633     2  0 Aug17 ?        00:00:00 [nfit]
root       694     2  0 Aug17 ?        00:00:00 [xfs-buf/sda1]
root       695     2  0 Aug17 ?        00:00:00 [xfs-data/sda1]
root       697     2  0 Aug17 ?        00:00:00 [xfs-conv/sda1]
root       698     2  0 Aug17 ?        00:00:00 [xfs-cil/sda1]
root       699     2  0 Aug17 ?        00:00:00 [xfs-reclaim/sda]
root       700     2  0 Aug17 ?        00:00:00 [xfs-log/sda1]
root       701     2  0 Aug17 ?        00:00:00 [xfs-eofblocks/s]
root       702     2  0 Aug17 ?        00:00:00 [xfsaild/sda1]
root       704     2  0 Aug17 ?        00:00:00 [ttm_swap]
root       705     2  0 Aug17 ?        00:00:00 [irq/16-vmwgfx]
root       718     2  0 Aug17 ?        00:00:00 [kdmflush]
root       719     2  0 Aug17 ?        00:00:00 [bioset]
root       726     2  0 Aug17 ?        00:00:00 [xfs-buf/dm-2]
root       727     2  0 Aug17 ?        00:00:00 [xfs-data/dm-2]
root       728     2  0 Aug17 ?        00:00:00 [xfs-conv/dm-2]
root       729     2  0 Aug17 ?        00:00:00 [xfs-cil/dm-2]
root       730     2  0 Aug17 ?        00:00:00 [xfs-reclaim/dm-]
root       731     2  0 Aug17 ?        00:00:00 [xfs-log/dm-2]
root       732     2  0 Aug17 ?        00:00:00 [xfs-eofblocks/d]
root       733     2  0 Aug17 ?        00:00:02 [xfsaild/dm-2]
root       768     1  0 Aug17 ?        00:00:01 /sbin/auditd
root       770   768  0 Aug17 ?        00:00:01 /sbin/audispd
root       772   770  0 Aug17 ?        00:00:00 /usr/sbin/sedispatch
root       774     2  0 Aug17 ?        00:00:00 [rpciod]
root       775     2  0 Aug17 ?        00:00:00 [xprtiod]
polkitd    792     1  5 Aug17 ?        04:08:57 /usr/lib/polkit-1/polkitd --no-d
dbus       793     1  2 Aug17 ?        01:38:53 /usr/bin/dbus-daemon --system --
root       798     1  0 Aug17 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E
root       801     1  0 Aug17 ?        00:00:00 /usr/sbin/abrtd -d -s
avahi      803     1  0 Aug17 ?        00:00:00 avahi-daemon: running [linux.loc
rtkit      808     1  0 Aug17 ?        00:00:02 /usr/libexec/rtkit-daemon
root       809     1  0 Aug17 ?        00:45:30 /usr/libexec/accounts-daemon
root       811     1  0 Aug17 ?        00:00:01 /usr/bin/abrt-watch-log -F BUG: 
root       812     1  0 Aug17 ?        00:00:00 /usr/bin/abrt-watch-log -F Backt
root       814     1  0 Aug17 ?        00:00:29 /usr/sbin/irqbalance --foregroun
root       826     1  0 Aug17 ?        00:00:06 /usr/lib/systemd/systemd-logind
libstor+   830     1  0 Aug17 ?        00:00:01 /usr/bin/lsmd -d
root       831     1  0 Aug17 ?        00:00:00 /usr/sbin/smartd -n -q never
root       833     1  0 Aug17 ?        00:00:08 /sbin/rngd -f
root       834     1  0 Aug17 ?        00:00:00 /usr/sbin/gssproxy -D
root       838     1  0 Aug17 ?        00:00:00 /usr/bin/VGAuthService -s
root       839     1  0 Aug17 ?        00:06:23 /usr/bin/vmtoolsd
root       841     1  0 Aug17 ?        00:00:00 /usr/sbin/ModemManager
avahi      846   803  0 Aug17 ?        00:00:00 avahi-daemon: chroot helper
chrony     848     1  0 Aug17 ?        00:00:01 /usr/sbin/chronyd
